query,region,correct,wrong,F1_correct,F1_wrong,IoU_correct,IoU_wrong,building_prob_correct,building_prob_wrong,building_recall_correct,building_recall_wrong,F1_wrong_minus_correct,mean_wrong_minus_correct,mean_absolute_probability_difference,foreground_ratio_difference@0.5,spatial_binary_disagreement@0.5
Q-urban-1-1.5m,urban,P3-1.5m,W-vegetation-1.5m,0.0,0.0,0.0,0.0,0.0030029178597033024,0.003994305618107319,0.0,0.0,0.0,0.011710809543728828,0.015048722736537457,0.005615748512131848,0.005615748512131848
Q-urban-1-1.5m,urban,P3-1.5m,W-field-1.5m,0.0,0.0,0.0,0.0,0.0030029178597033024,0.005089402664452791,0.0,0.0,0.0,0.011160952970385551,0.012941082939505577,0.0,0.0
Q-urban-1-2m,urban,P1-2m,W-vegetation-2m,0.11278016649894794,0.0,0.0597599519128226,0.0,0.08907612413167953,0.009288867935538292,0.0613614191570271,0.0,-0.11278016649894794,-0.014332616701722145,0.04530129209160805,-0.014458971238473835,0.019326952056492992
Q-urban-1-2m,urban,P1-2m,W-field-2m,0.11278016649894794,0.0,0.0597599519128226,0.0,0.08907612413167953,0.0032853761222213507,0.0613614191570271,0.0,-0.11278016649894794,-0.021494023501873016,0.04404323920607567,-0.01624822124133511,0.01753770205363172
Q-urban-1-2m,urban,P2-2m,W-vegetation-2m,0.0,0.0,0.0,0.0,0.003311418229714036,0.009288867935538292,0.0,0.0,0.0,0.017772048711776733,0.017966825515031815,0.0024339904090095797,0.0024339904090095797
Q-urban-1-2m,urban,P2-2m,W-field-2m,0.0,0.0,0.0,0.0,0.003311418229714036,0.0032853761222213507,0.0,0.0,0.0,0.010610641911625862,0.01212037168443203,0.0006447404061483055,0.0006447404061483055
Q-urban-1-2m,urban,P3-2m,W-vegetation-2m,0.0,0.0,0.0,0.0,0.004499408882111311,0.009288867935538292,0.0,0.0,0.0,0.017509588971734047,0.018206926062703133,0.0024339904090095797,0.0024339904090095797
Q-urban-1-2m,urban,P3-2m,W-field-2m,0.0,0.0,0.0,0.0,0.004499408882111311,0.0032853761222213507,0.0,0.0,0.0,0.010348181240260601,0.012595318257808685,0.0006447404061483055,0.0006447404061483055
Q-urban-1-3m,urban,P1-3m,W-vegetation-3m,0.008472859221602107,0.0,0.004254453302750596,0.0,0.036796342581510544,0.0037621180526912212,0.004254532001479837,0.0,-0.008472859221602107,-0.014182784594595432,0.02216332219541073,-0.0008812992869487587,0.0008812992869487587
Q-urban-1-3m,urban,P1-3m,W-field-3m,0.008472859221602107,0.0,0.004254453302750596,0.0,0.036796342581510544,0.010584215633571148,0.004254532001479837,0.0,-0.008472859221602107,0.00479357922449708,0.0321863517165184,0.002155558862017527,0.003918157435915044
Q-urban-1-3m,urban,P2-3m,W-vegetation-3m,0.0,0.0,0.0,0.0,0.0001449224364478141,0.0037621180526912212,0.0,0.0,0.0,0.007052676286548376,0.007052774075418711,0.0,0.0
Q-urban-1-3m,urban,P2-3m,W-field-3m,0.0,0.0,0.0,0.0,0.0001449224364478141,0.010584215633571148,0.0,0.0,0.0,0.026029039174318314,0.026029039174318314,0.0030368581489662854,0.0030368581489662854
Q-urban-1-3m,urban,P3-3m,W-vegetation-3m,0.0,0.0,0.0,0.0,2.089558620355092e-05,0.0037621180526912212,0.0,0.0,0.0,0.007166188210248947,0.007166188210248947,0.0,0.0
Q-urban-1-3m,urban,P3-3m,W-field-3m,0.0,0.0,0.0,0.0,2.089558620355092e-05,0.010584215633571148,0.0,0.0,0.0,0.026142554357647896,0.026142554357647896,0.0030368581489662854,0.0030368581489662854
Q-urban-1-4m,urban,P1-4m,W-vegetation-4m,0.0,0.0,0.0,0.0,0.024786410853266716,0.0048515344969928265,0.0,0.0,0.0,-0.008427160792052746,0.02133595012128353,0.0,0.0
Q-urban-1-4m,urban,P1-4m,W-field-4m,0.0,0.0,0.0,0.0,0.024786410853266716,0.0029870045837014914,0.0,0.0,0.0,-0.008190748281776905,0.023518655449151993,0.0,0.0
Q-urban-1-4m,urban,P2-4m,W-vegetation-4m,0.0,0.0,0.0,0.0,0.0001763008622219786,0.0048515344969928265,0.0,0.0,0.0,0.010264360345900059,0.010303451679646969,0.0,0.0
Q-urban-1-4m,urban,P2-4m,W-field-4m,0.0,0.0,0.0,0.0,0.0001763008622219786,0.0029870045837014914,0.0,0.0,0.0,0.010500773787498474,0.010520931333303452,0.0,0.0
Q-urban-1-4m,urban,P3-4m,W-vegetation-4m,0.0,0.0,0.0,0.0,2.5287889002356678e-05,0.0048515344969928265,0.0,0.0,0.0,0.01040953304618597,0.01040953304618597,0.0,0.0
Q-urban-1-4m,urban,P3-4m,W-field-4m,0.0,0.0,0.0,0.0,2.5287889002356678e-05,0.0029870045837014914,0.0,0.0,0.0,0.010645946487784386,0.010645946487784386,0.0,0.0
