experiment_id,support_id,query_id,support_gsd,query_gsd,scene_type,prompt_type,prob_mean,prob_std,p90,p95,p99,prob_max,fg_ratio@0.3,fg_ratio@0.5,fg_ratio@0.7,IoU,Precision,Recall,F1,runtime_ms,peak_gpu_memory_mb,model_version,checkpoint_digest,seed
Q06-building-01,building-01,Q06,1.0,1.0,negative,building,0.1152861937880516,0.12506522238254547,0.3217124938964844,0.36837661266326904,0.4149979054927826,0.48512813448905945,0.12785720825195312,0.0,0.0,,,,,244.97085495386273,11501.28173828125,research-v1,32a08982baea125f60feb95fe0a04dfe450ec9c12ee846384cbadd8ff6c5661c,42
Q06-vegetation-control,vegetation-control,Q06,1.0,1.0,negative,wrong_vegetation,0.21610644459724426,0.20957161486148834,0.5320354700088501,0.569033682346344,0.6332090497016907,0.6970945596694946,0.3541412353515625,0.15771865844726562,0.0,,,,,243.4440420474857,11501.28173828125,research-v1,32a08982baea125f60feb95fe0a04dfe450ec9c12ee846384cbadd8ff6c5661c,42
Q07-building-01,building-01,Q07,1.0,1.0,negative,building,0.14036154747009277,0.16144602000713348,0.35122522711753845,0.5567092299461365,0.6684796214103699,0.7031329870223999,0.13554000854492188,0.060611724853515625,1.9073486328125e-05,,,,,246.81169097311795,11501.28173828125,research-v1,32a08982baea125f60feb95fe0a04dfe450ec9c12ee846384cbadd8ff6c5661c,42
Q07-vegetation-control,vegetation-control,Q07,1.0,1.0,negative,wrong_vegetation,0.3371771275997162,0.19281715154647827,0.5872946381568909,0.6689361333847046,0.7259107828140259,0.7850214242935181,0.5526161193847656,0.240631103515625,0.032527923583984375,,,,,248.40437597595155,11501.28173828125,research-v1,32a08982baea125f60feb95fe0a04dfe450ec9c12ee846384cbadd8ff6c5661c,42
Q08-building-01,building-01,Q08,1.0,1.0,negative,building,0.12392699718475342,0.10853493213653564,0.2931244671344757,0.3162989616394043,0.37188228964805603,0.4729209542274475,0.08263397216796875,0.0,0.0,,,,,243.59011196065694,11501.28173828125,research-v1,32a08982baea125f60feb95fe0a04dfe450ec9c12ee846384cbadd8ff6c5661c,42
Q08-vegetation-control,vegetation-control,Q08,1.0,1.0,negative,wrong_vegetation,0.27391737699508667,0.20775972306728363,0.5725224614143372,0.6098669767379761,0.6472517251968384,0.6933730244636536,0.4297599792480469,0.20845413208007812,0.0,,,,,246.39746092725545,11501.28173828125,research-v1,32a08982baea125f60feb95fe0a04dfe450ec9c12ee846384cbadd8ff6c5661c,42
Q09-building-01,building-01,Q09,1.0,1.0,negative,building,0.32365506887435913,0.153021901845932,0.4937993586063385,0.5141775012016296,0.5492359399795532,0.6907973289489746,0.6541748046875,0.08531570434570312,0.0,,,,,246.01913709193468,11501.28173828125,research-v1,32a08982baea125f60feb95fe0a04dfe450ec9c12ee846384cbadd8ff6c5661c,42
Q09-vegetation-control,vegetation-control,Q09,1.0,1.0,negative,wrong_vegetation,0.43316003680229187,0.16813533008098602,0.6340537667274475,0.6641831994056702,0.705292284488678,0.7625970244407654,0.7607917785644531,0.4102020263671875,0.012653350830078125,,,,,246.9443209702149,11501.28173828125,research-v1,32a08982baea125f60feb95fe0a04dfe450ec9c12ee846384cbadd8ff6c5661c,42
Q10-building-01,building-01,Q10,1.0,1.0,negative,building,0.2315640151500702,0.13952381908893585,0.41569608449935913,0.48103269934654236,0.5694393515586853,0.8266857266426086,0.3332862854003906,0.041042327880859375,0.0004119873046875,,,,,245.05634198430926,11501.28173828125,research-v1,32a08982baea125f60feb95fe0a04dfe450ec9c12ee846384cbadd8ff6c5661c,42
Q10-vegetation-control,vegetation-control,Q10,1.0,1.0,negative,wrong_vegetation,0.38966116309165955,0.20181545615196228,0.6252939105033875,0.6634801030158997,0.6972610354423523,0.8116914629936218,0.682373046875,0.37799835205078125,0.008575439453125,,,,,245.9773119771853,11501.28173828125,research-v1,32a08982baea125f60feb95fe0a04dfe450ec9c12ee846384cbadd8ff6c5661c,42
Q11-building-01,building-01,Q11,1.0,1.0,mixed,building,0.10512907803058624,0.07489053905010223,0.20632807910442352,0.2413402944803238,0.3159037232398987,0.4896698296070099,0.013759613037109375,0.0,0.0,,,,,244.90442406386137,11501.28173828125,research-v1,32a08982baea125f60feb95fe0a04dfe450ec9c12ee846384cbadd8ff6c5661c,42
Q11-vegetation-control,vegetation-control,Q11,1.0,1.0,mixed,wrong_vegetation,0.28949761390686035,0.1796199381351471,0.530741810798645,0.568793773651123,0.6418923735618591,0.6765792965888977,0.4682884216308594,0.15894699096679688,0.0,,,,,248.68513899855316,11501.28173828125,research-v1,32a08982baea125f60feb95fe0a04dfe450ec9c12ee846384cbadd8ff6c5661c,42
Q12-building-01,building-01,Q12,1.0,1.0,mixed,building,0.04747408628463745,0.05005623772740364,0.12143142521381378,0.16099469363689423,0.20867617428302765,0.3017864227294922,3.814697265625e-06,0.0,0.0,,,,,244.30558097083122,11501.28173828125,research-v1,32a08982baea125f60feb95fe0a04dfe450ec9c12ee846384cbadd8ff6c5661c,42
Q12-vegetation-control,vegetation-control,Q12,1.0,1.0,mixed,wrong_vegetation,0.2060151994228363,0.178644597530365,0.5279551148414612,0.5904842615127563,0.6310025453567505,0.6629167795181274,0.2672233581542969,0.11370468139648438,0.0,,,,,244.67795190867037,11501.28173828125,research-v1,32a08982baea125f60feb95fe0a04dfe450ec9c12ee846384cbadd8ff6c5661c,42
