experiment_id,query_id,support_id,prompt,prompt_type,query_region,support_region,support_gsd,query_gsd,GSD_METADATA_CONFLICT,seed,slot_id,checkpoint_digest,model_version,model_git_commit,runtime_ms,wall_ms,peak_gpu_memory_mb,prob_mean,prob_std,prob_max,p90,p95,p99,valid_pixels,fg_ratio@0.3,fg_ratio@0.5,fg_ratio@0.7,IoU,Precision,Recall,F1,false_positive_area,gt_status,TP,FP,FN,false_negative_area,area_units,core_prob_mean,core_prob_std,core_prob_max,core_p90,core_p95,core_p99,core_valid_pixels,core_fg_ratio@0.3,core_fg_ratio@0.5,core_fg_ratio@0.7,core_IoU,core_Precision,core_Recall,core_F1,core_false_positive_area,core_gt_status,core_TP,core_FP,core_FN,core_false_negative_area,common_core
Q-urban-1-1.5m__P2-1m,Q-urban-1-1.5m,P2-1m,P2,building,urban,urban,1.0,1.5,False,42,24,32a08982baea125f60feb95fe0a04dfe450ec9c12ee846384cbadd8ff6c5661c,research-v1,cb0c6b774471ad3314354041c8fa6aae7d49a9bb,244.94769901502877,696.1228330037557,11501.28173828125,0.06291449069976807,0.09074067324399948,0.5994424223899841,0.19572687149047852,0.2615474462509155,0.40661749243736267,262120,0.0333015412788036,0.0011941095681367313,0.0,0.004742033383915023,0.7188498402555911,0.004750844594594595,0.009439305267132339,198.0,official_human_vectors,225,88,47135,106053.75,m2,0.051729485392570496,0.07763133198022842,0.5215139389038086,0.16593824326992035,0.22002087533473969,0.3480875790119171,262033,0.017310796731709367,0.00037018238160842334,0.0,0.002306503388419926,1.0,0.002306503388419926,0.004602391345606377,0,human_approved,97,0,41958,41958,
Q-urban-1-1.5m__P2-1.5m,Q-urban-1-1.5m,P2-1.5m,P2,building,urban,urban,1.5,1.5,False,42,24,32a08982baea125f60feb95fe0a04dfe450ec9c12ee846384cbadd8ff6c5661c,research-v1,cb0c6b774471ad3314354041c8fa6aae7d49a9bb,245.1134379953146,695.5897499865387,11501.28173828125,0.004303117282688618,0.012230725958943367,0.19926723837852478,0.009577100165188313,0.020261375233530998,0.05981658771634102,262120,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,official_human_vectors,0,0,47360,106560.0,m2,0.002671704860404134,0.007445088122040033,0.13540270924568176,0.006072881631553173,0.010526217520236969,0.034899696707725525,262033,0.0,0.0,0.0,0.0,,0.0,0.0,0,human_approved,0,0,42055,42055,
Q-urban-1-1.5m__P3-1m,Q-urban-1-1.5m,P3-1m,P3,building,urban,urban,1.0,1.5,False,42,24,32a08982baea125f60feb95fe0a04dfe450ec9c12ee846384cbadd8ff6c5661c,research-v1,cb0c6b774471ad3314354041c8fa6aae7d49a9bb,243.24391596019268,708.7603749823757,11501.28173828125,0.014759768731892109,0.029337173327803612,0.33785390853881836,0.04162660241127014,0.06982387602329254,0.15072031319141388,262120,0.00043873035251030065,0.0,0.0,0.0,,0.0,0.0,0.0,official_human_vectors,0,0,47360,106560.0,m2,0.008587630465626717,0.013401545584201813,0.15663807094097137,0.024871669709682465,0.03756135702133179,0.06216416880488396,262033,0.0,0.0,0.0,0.0,,0.0,0.0,0,human_approved,0,0,42055,42055,
Q-urban-1-1.5m__P3-1.5m,Q-urban-1-1.5m,P3-1.5m,P3,building,urban,urban,1.5,1.5,False,42,24,32a08982baea125f60feb95fe0a04dfe450ec9c12ee846384cbadd8ff6c5661c,research-v1,cb0c6b774471ad3314354041c8fa6aae7d49a9bb,246.18174997158349,794.1837499965914,11501.28173828125,0.006899111904203892,0.023489197716116905,0.4268326461315155,0.010968206450343132,0.023283418267965317,0.12962140142917633,262120,0.0009385014497176866,0.0,0.0,0.0,,0.0,0.0,0.0,official_human_vectors,0,0,47360,106560.0,m2,0.006121010519564152,0.023012612015008926,0.36621806025505066,0.008896572515368462,0.01783224195241928,0.1203216165304184,262033,0.001137261337312476,0.0,0.0,0.0,,0.0,0.0,0,human_approved,0,0,42055,42055,
Q-urban-1-1.5m__W-vegetation-1.5m,Q-urban-1-1.5m,W-vegetation-1.5m,W-vegetation,wrong,urban,outskirts,1.5,1.5,False,42,24,32a08982baea125f60feb95fe0a04dfe450ec9c12ee846384cbadd8ff6c5661c,research-v1,cb0c6b774471ad3314354041c8fa6aae7d49a9bb,244.84069703612477,704.6430830087047,11501.28173828125,0.018609924241900444,0.060722045600414276,0.7895883321762085,0.038772255182266235,0.08877098560333252,0.29261213541030884,262120,0.009571951777811689,0.005615748512131848,0.000793529681062109,0.0,0.0,0.0,0.0,3312.0,official_human_vectors,0,1472,47360,106560.0,m2,0.013459129258990288,0.03353022783994675,0.49083253741264343,0.031142815947532654,0.06752040237188339,0.1934918910264969,262033,0.000851037846378128,0.0,0.0,0.0,,0.0,0.0,0,human_approved,0,0,42055,42055,
Q-urban-1-1.5m__W-field-1.5m,Q-urban-1-1.5m,W-field-1.5m,W-field,wrong,urban,outskirts,1.5,1.5,False,42,24,32a08982baea125f60feb95fe0a04dfe450ec9c12ee846384cbadd8ff6c5661c,research-v1,cb0c6b774471ad3314354041c8fa6aae7d49a9bb,247.46812402736396,736.6374169941992,11501.28173828125,0.018060065805912018,0.0386163555085659,0.44280755519866943,0.045848533511161804,0.08128410577774048,0.21031808853149414,262120,0.003238974515489089,0.0,0.0,0.0,,0.0,0.0,0.0,official_human_vectors,0,0,47360,106560.0,m2,0.017374388873577118,0.029768476262688637,0.27550551295280457,0.04772485792636871,0.0775165855884552,0.1446903944015503,262033,0.0,0.0,0.0,0.0,,0.0,0.0,0,human_approved,0,0,42055,42055,
Q-urban-1-2m__P1-1m,Q-urban-1-2m,P1-1m,P1,building,urban,urban,1.0,2.0,False,42,24,32a08982baea125f60feb95fe0a04dfe450ec9c12ee846384cbadd8ff6c5661c,research-v1,cb0c6b774471ad3314354041c8fa6aae7d49a9bb,245.21711294073611,718.1813750066794,11501.28173828125,0.09053543210029602,0.17688065767288208,0.9349086284637451,0.31908050179481506,0.5203115344047546,0.8196073770523071,262121,0.1058595076319715,0.05304420477565704,0.02520591635160861,0.13269631565933096,0.5403481012658228,0.14958090270173413,0.23430166378194633,25564.0,official_human_vectors,7513,6391,42714,170856.0,m2,0.05988975614309311,0.1120578944683075,0.8379963040351868,0.1948811262845993,0.3213059604167938,0.5166510939598083,262033,0.05535180683349044,0.012154957581678644,0.0011601592165872236,0.0679130373203031,0.9032967032967033,0.06841041493282606,0.12718832891246684,308,human_approved,2877,308,39178,39178,
Q-urban-1-2m__P1-2m,Q-urban-1-2m,P1-2m,P1,building,urban,urban,2.0,2.0,False,42,24,32a08982baea125f60feb95fe0a04dfe450ec9c12ee846384cbadd8ff6c5661c,research-v1,cb0c6b774471ad3314354041c8fa6aae7d49a9bb,247.42530495859683,701.039417006541,11501.28173828125,0.035615332424640656,0.10249121487140656,0.8140850067138672,0.0829266682267189,0.20522326231002808,0.6054714918136597,262121,0.03452985453283026,0.016892961647483416,0.003330522926434738,0.0597599519128226,0.6960252935862692,0.0613614191570271,0.11278016649894794,5384.0,official_human_vectors,3082,1346,47145,188580.0,m2,0.014750265516340733,0.04242721199989319,0.7093738317489624,0.0343184731900692,0.07949477434158325,0.21373191475868225,262033,0.0028851327886182275,0.0011487102769498498,0.00030148874378417985,0.006822125555634791,0.9534883720930233,0.006824396623469267,0.013551799036736235,14,human_approved,287,14,41768,41768,
Q-urban-1-2m__P2-1m,Q-urban-1-2m,P2-1m,P2,building,urban,urban,1.0,2.0,False,42,24,32a08982baea125f60feb95fe0a04dfe450ec9c12ee846384cbadd8ff6c5661c,research-v1,cb0c6b774471ad3314354041c8fa6aae7d49a9bb,244.69476600643247,700.4867090145126,11501.28173828125,0.0981789082288742,0.12812623381614685,0.6964340806007385,0.304142028093338,0.3911879360675812,0.5013539791107178,262121,0.10331488129527966,0.0102815112104715,0.0,0.03563531046359171,0.67569573283859,0.03625540048181257,0.06881826083670307,3496.0,official_human_vectors,1821,874,48406,193624.0,m2,0.0809316411614418,0.11678801476955414,0.5836707949638367,0.2652597725391388,0.37110453844070435,0.47432979941368103,262033,0.0834780352093057,0.0057969797697236605,0.0,0.034544979700372756,0.9578670177748518,0.034597550826298895,0.06678294395740579,64,human_approved,1455,64,40600,40600,
Q-urban-1-2m__P2-2m,Q-urban-1-2m,P2-2m,P2,building,urban,urban,2.0,2.0,False,42,24,32a08982baea125f60feb95fe0a04dfe450ec9c12ee846384cbadd8ff6c5661c,research-v1,cb0c6b774471ad3314354041c8fa6aae7d49a9bb,243.67030698340386,707.7075830020476,11501.28173828125,0.0035106658469885588,0.009469221346080303,0.21825647354125977,0.007786843925714493,0.01203253772109747,0.028556285426020622,262121,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,official_human_vectors,0,0,50227,200908.0,m2,0.002433129120618105,0.005897433962672949,0.14929555356502533,0.00535231688991189,0.008552202954888344,0.01930813677608967,262033,0.0,0.0,0.0,0.0,,0.0,0.0,0,human_approved,0,0,42055,42055,
